,job_title,skills
0,exports administrator," Administration ,  Communication ,  Marketing ,  Market Research ,  Research ,  Sales ,  Abroad ,  Administration ,  Administrative ,  Administrative Assistance ,  Agents ,  Assistance ,  Assisting ,  Basis ,  Communication ,  Compliance ,  Computer Skills ,  Contacts ,  Coordinating ,  Countries ,  Country ,  Dairy ,  Data ,  Deliveries ,  Description ,  Economics ,  Elements ,  Excel ,  Export ,  FMCG ,  Factory ,  Follow ,  Integrating ,  Job ,  Legislation ,  Liaising ,  Logistics ,  Market ,  Market Research ,  Marketing ,  Merchandising ,  Office ,  Operations ,  Paperwork ,  Permanent Basis ,  Price ,  Producing ,  Promotional ,  Promotions ,  Providers ,  Relevant ,  Research ,  Salary ,  Sales ,  Selling ,  Service Providers ,  Services ,  Setting ,  Skills ,  Successful ,  Timelines ,  Trade ,  Trade Agreements "
1,retail sales consultant," Retail ,  Sales ,  Advantage ,  Art ,  BASIC ,  Client ,  Commission ,  Computer Literate ,  Customer ,  Description ,  Enthusiastic ,  Excellent ,  Expand ,  Focused ,  Job ,  Lighting ,  Outgoing ,  Reliable ,  Retail ,  Retail Sales ,  Retail Sales Experience ,  Salary ,  Sales ,  Sell ,  Selling ,  Skills ,  Target ,  Target Driven "
2,financial reporting manager," Financial Reporting ,  Management ,  Ability ,  Annual ,  Articles ,  Assistance ,  Balance ,  Balance Sheet ,  Budgeting ,  CA ,  Company ,  Deadline ,  Deadline Driven ,  Description ,  Duties ,  EN ,  File ,  Financial ,  Financial Reporting ,  Function ,  Identify ,  Internal Audit ,  Job ,  Legal ,  Management ,  Management Skills ,  Oversight ,  Preparation ,  Problems ,  Recommend ,  Reporting ,  Responsible ,  Scope ,  Sheet ,  Skills ,  Solve ,  Staff Management "
3,secretary," Administration ,  Sales ,  Administration ,  Description ,  Functions ,  Job ,  PC ,  Sales ,  Sales Administration ,  Skills "
4,receptionist," Hospitality Management ,  Management ,  Time Management ,  Accommodation ,  Achieve ,  Adherence ,  Advantage ,  Agents ,  Availability ,  Average ,  CID ,  Client ,  Committed ,  Communications ,  Company ,  Correct ,  Description ,  Designations ,  Detail ,  Duties ,  Enquiries ,  Excellent ,  Filing ,  Front ,  Front Office ,  Highest ,  History ,  Hospitality ,  Hospitality Management ,  Hotel ,  Hours ,  Incoming ,  Individual ,  Job ,  Letters ,  Long Hours ,  MARSHA ,  Management ,  Management Skills ,  Manner ,  N ,  Office ,  Opera ,  Operators ,  Payments ,  Planning ,  Precise ,  Pro ,  Procedures ,  Processing ,  Profile ,  Quotes ,  Received ,  Records ,  Relevant ,  Reservations ,  Salary ,  Set ,  Skills ,  Systems ,  TES ,  Telephone ,  Telephone Manner ,  Time ,  Time Management ,  Time Management Skills ,  Tour Operators ,  VIP "
5,commercial analyst," C ,  Management ,  Project Management ,  Adhoc ,  Analysis ,  Analyst ,  Annual ,  Budget Process ,  Business ,  C ,  Calculations ,  Comm ,  Cost ,  Description ,  Efficiencies ,  Evaluations ,  Excel ,  Existing ,  Financial ,  Financial Evaluations ,  Global ,  High ,  High Proficiency ,  Job ,  MA ,  Management ,  Management Skills ,  Measurements ,  Metrics ,  Operational ,  Project Management ,  Project Management Skills ,  Qualification ,  Reporting ,  Reports ,  Role ,  SAP ,  Services ,  Similar ,  Skills "
6,financial manager," Finance ,  Financial Planning ,  Leadership ,  Management ,  Sales ,  Accounts ,  Accurate ,  Activities ,  Administrative ,  Analytical Abilities ,  Aptitude ,  Attention ,  Budgets ,  Business ,  CA ,  Compliance ,  Computer Literacy ,  Control Procedures ,  Controlling ,  Controlling Budgets ,  Customer ,  Department ,  Description ,  Detail ,  Finance ,  Financial ,  Financial Planning ,  Financial Risk ,  Flow ,  Function ,  Housekeeping ,  Job ,  Leadership ,  Leadership Skills ,  Literacy ,  Management ,  Office ,  Operational ,  People ,  People Management ,  Planning ,  Preparing ,  Procedures ,  Process Flow ,  Provide ,  Reduce ,  Region ,  Regional ,  Relevant ,  Reporting ,  Risk ,  SAP ,  Sales ,  Skills ,  Sound ,  Strong ,  Systems "
7,java developer," Accounting ,  Communication ,  Databases ,  HTML ,  Java ,  Management ,  Oracle ,  Problem Solving ,  Research ,  SQL ,  Time Management ,  Writing ,  XML ,  XSLT ,  Accounting ,  Applications ,  Based ,  BlazeDS ,  Building ,  CID ,  Communication ,  Communication Skills ,  Confident ,  Custom ,  Database ,  Database Development ,  Databases ,  Description ,  Design ,  Developer ,  Flex ,  General ,  HTML ,  Interpersonal ,  Interpersonal Skills ,  Java ,  Job ,  Maintenance ,  Management ,  Management Skills ,  Offer ,  Oracle ,  Other ,  Problem Solving ,  Qualification ,  Relational Databases ,  Research ,  SQL ,  Scrum ,  Self Driven ,  Servlets ,  Sessions ,  Skills ,  Solid ,  Spring ,  Struts ,  Tags ,  Technical ,  Technical Writing ,  Time ,  Time Management ,  Time Management Skills ,  Web ,  Web Based ,  Writing ,  Writing Skills ,  XML ,  XSLT "
8,assistant accountant," Management ,  Sales ,  Accounts ,  Accounts Payable ,  Asset ,  Balance ,  Balance Sheet ,  COD ,  Cash ,  Description ,  Documentation ,  Financial ,  Financial Statements ,  Fixed ,  Fixed Asset Register ,  Function ,  Growth ,  Growth Management ,  Job ,  Journals ,  Management ,  Margin ,  Month End ,  Month End Procedures ,  Payments ,  Posting ,  Preparation ,  Price ,  Procedures ,  Purchase Orders ,  Receiving ,  Regional ,  Register ,  Release ,  Reporting ,  Returns ,  Review ,  Reviews ,  Salary ,  Sales ,  Schedules ,  Sheet ,  Supporting ,  Team ,  Weekly "
9,property sales," Communication ,  Sales ,  Training ,  A ,  Advantage ,  Assisting ,  Attention ,  CID ,  Client ,  Client Centric ,  Closing ,  Commercial Property Sales ,  Communication ,  Communication Skills ,  Company ,  Culture ,  Description ,  Detail ,  Dynamic ,  Excellent ,  Focus ,  Hard Work ,  High ,  Interpersonal ,  Interpersonal Skills ,  Job ,  Knowledge Sharing ,  Level ,  Manner ,  Part ,  Passion ,  Property ,  Reliable ,  Salary ,  Sales ,  Skills ,  Solid ,  Strong ,  Supporting ,  Team ,  Team Focus ,  Telephone ,  Telephone Manner ,  Training ,  Vibrant ,  Written "
